test_person,reference_image,test_image,img_size,response,resptime
Testperson 7,04,70,24746,5,1.622982
Testperson 7,10,80,8359,3,2.263594
Testperson 7,08,100,2180,0,1.272548
Testperson 7,06,100,2903,0,0.776133
Testperson 7,09,30,34009,5,2.000553
Testperson 7,10,50,15545,5,2.628265
Testperson 7,05,10,67123,5,1.701073
Testperson 7,08,20,34101,6,2.664317
Testperson 7,01,80,15978,4,1.487762
Testperson 7,09,80,13392,3,3.844427
Testperson 7,05,100,2453,0,1.343846
Testperson 7,02,50,15773,6,5.004107
Testperson 7,01,20,53424,5,3.202023
Testperson 7,02,60,13203,6,1.611427
Testperson 7,09,70,17639,5,1.359699
Testperson 7,06,10,95297,6,1.480577
Testperson 7,08,60,16605,5,1.8615
Testperson 7,03,30,49608,5,1.184764
Testperson 7,09,60,21225,5,1.496158
Testperson 7,01,40,34958,5,6.038591
